TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
37,108546,1,4082,-1,PRODUCE,4020
38,154356,1,3800000127,1,GROCERY DRY GOODS,3555
36,80296,3,84105804069,1,PERSONAL CARE,1410
37,168408,4,67015220012,1,GROCERY DRY GOODS,2652
3,96861,6,68113163351,1,FINANCIAL SERVICES,275
36,51984,6,7457003400,1,FROZEN FOODS,9151
3,50812,6,68113176761,1,FINANCIAL SERVICES,283
36,67945,1,38151900027,1,PERSONAL CARE,5330
38,8277,6,7874203062,2,FROZEN FOODS,4060
36,68071,1,75450202101,1,PERSONAL CARE,7015
36,126482,4,2260022339,1,PERSONAL CARE,1414
36,38030,4,5200033875,1,DSD GROCERY,4606
37,46852,5,4261,1,PRODUCE,5830
38,12087,6,2100000028,1,DAIRY,7956
38,65781,1,930000016,1,GROCERY DRY GOODS,2554
38,51917,6,7225003712,1,COMM BREAD,3710
38,18331,7,3400037600,1,IMPULSE MERCHANDISE,125
38,104704,7,4046,1,PRODUCE,5620
38,34207,3,9396651300,1,DAIRY,1510
38,74779,2,9243715201,1,PHARMACY OTC,3749
38,22179,1,81832601153,1,HOME DECOR,2518
38,185570,7,2560000786,1,COMM BREAD,6151
36,144414,7,3000005960,1,GROCERY DRY GOODS,4351
36,110957,1,68333321538,1,PERSONAL CARE,9111
37,148777,7,68113132886,1,PRODUCE,8205
38,36015,3,88796124402,1,IMPULSE MERCHANDISE,336
38,188964,7,7874235186,3,DAIRY,1508
37,131426,5,4065,1,PRODUCE,8101
38,7058,6,1480000082,1,GROCERY DRY GOODS,2763
37,128920,4,87489600557,1,PRODUCE,7850
37,106004,7,20154500000,1,SERVICE DELI,8001
37,140463,6,7874202976,2,DSD GROCERY,7700
37,24654,1,7225003712,1,COMM BREAD,3710
36,140171,6,61126999100,1,DSD GROCERY,3467
37,63536,1,7940019892,1,PERSONAL CARE,5065
37,187435,7,4378,1,PRODUCE,2500
38,162931,3,7874207706,1,FROZEN FOODS,1852
38,185478,7,4900005011,2,DSD GROCERY,9570
38,60179,7,4300020056,1,GROCERY DRY GOODS,4304
36,29130,2,30997845657,1,PERSONAL CARE,5365
38,190287,7,1370050845,1,HOUSEHOLD PAPER GOODS,5010
38,165121,3,3800093772,-1,GROCERY DRY GOODS,3600
37,138050,6,2240065158,1,PERSONAL CARE,5510
37,151759,1,4135,1,PRODUCE,1214
37,27255,2,3107,1,PRODUCE,103
38,38040,4,7874204081,1,BAKERY,6028
3,94870,6,83032400508,1,IMPULSE MERCHANDISE,1749
5,144340,7,68113107178,2,PHARMACY OTC,802
37,24321,1,2840006408,1,DSD GROCERY,7002
38,50145,6,1740010207,1,GROCERY DRY GOODS,3814
37,90477,5,3710267503,1,PRODUCE,6910
36,147003,7,3700085002,1,HOUSEHOLD CHEMICALS/SUPP,500
36,35844,3,7418228914,1,PERSONAL CARE,9113
37,186561,7,22004300000,1,MEAT - FRESH & FROZEN,4136
37,94732,6,4060,1,PRODUCE,8403
36,181389,6,2279691612,1,PERSONAL CARE,5047
3,159465,2,60538887953,1,FINANCIAL SERVICES,285
37,133505,5,3940001594,1,GROCERY DRY GOODS,2828
3,13861,7,60538896309,1,FINANCIAL SERVICES,276
38,78518,3,2430076119,1,COMM BREAD,2286
3,162460,3,68113107939,1,FINANCIAL SERVICES,200
37,150881,1,2400016287,1,GROCERY DRY GOODS,2802
36,166382,3,4740064972,1,PERSONAL CARE,1406
37,129929,4,4087,1,PRODUCE,7803
5,184696,7,3500055372,2,PERSONAL CARE,9108
37,129929,4,4650071693,1,HOUSEHOLD CHEMICALS/SUPP,1555
38,189865,7,60538871456,1,DAIRY,9130
37,25666,1,7442602000,1,COMM BREAD,3729
37,104856,7,7209202418,1,DSD GROCERY,4655
5,138434,6,2428615002,1,PHARMACY OTC,4083
5,184787,7,30573016930,1,PHARMACY OTC,2005
37,7177,6,7874207792,1,HOUSEHOLD PAPER GOODS,4005
5,155268,1,1400778300,1,PHARMACY OTC,3037
36,79430,3,79285089258,1,BEAUTY,8226
38,186594,7,4365770042,1,TOYS,3514
38,93424,6,4300002825,1,DSD GROCERY,4624
38,85111,4,3114200088,1,SERVICE DELI,3007
5,144264,7,68113107822,1,PHARMACY OTC,5606
5,158255,2,1119230777,2,HORTICULTURE AND ACCESS,5501
5,182345,6,3400000009,1,IMPULSE MERCHANDISE,145
38,153599,1,2840000288,-1,DSD GROCERY,3658
38,107414,1,5210001970,1,GROCERY DRY GOODS,4252
38,33622,3,2548400012,4,PRODUCE,4400
38,166773,3,7874235187,1,DAIRY,1508
38,154306,1,2430078108,2,COMM BREAD,2286
36,154966,1,7976503128,1,DSD GROCERY,9206
5,30104,2,2260064614,1,PHARMACY OTC,4502
37,101571,7,7874237117,1,GROCERY DRY GOODS,4451
38,136019,5,2840023987,1,DSD GROCERY,4402
36,180397,6,7214001406,1,BEAUTY,4010
37,177257,5,3338311002,1,PRODUCE,109
37,111936,1,7874235186,3,DAIRY,1508
37,59158,7,6827491147,1,DSD GROCERY,9215
36,148043,7,8580516913,1,BEAUTY,9016
37,174156,5,8520000126,2,"LIQUOR,WINE,BEER",3452
37,148777,7,4011,1,PRODUCE,5501
37,108803,1,7756727442,1,FROZEN FOODS,1855
38,132781,5,3151,1,PRODUCE,7801
38,13787,7,7874222816,1,GROCERY DRY GOODS,3557
36,183998,6,9518802128,1,DSD GROCERY,4644
5,97771,6,30045048102,1,PHARMACY OTC,2004
37,131151,5,7566911211,1,GROCERY DRY GOODS,2996
36,111731,1,69982900093,1,PERSONAL CARE,5051
36,33434,3,38137102521,1,BEAUTY,4610
37,136507,5,3338320027,1,PRODUCE,3601
38,147092,7,4400003202,1,DSD GROCERY,2758
37,131922,5,4078,1,PRODUCE,8303
37,149714,7,4087,1,PRODUCE,7803
37,41795,4,2710000994,1,BOOKS AND MAGAZINES,315
36,48840,5,4155441135,1,BEAUTY,2210
38,124256,3,7874209249,1,PRE PACKED DELI,7550
38,31204,2,7874208949,1,DSD GROCERY,4675
36,186495,7,31254711353,1,PERSONAL CARE,808
5,10001,6,7279903684,1,IMPULSE MERCHANDISE,125
38,176559,5,7342000011,1,DAIRY,1353
37,151276,1,7874235186,1,DAIRY,1508
37,6219,6,4000044148,1,IMPULSE MERCHANDISE,115
36,86671,4,3700006204,1,PERSONAL CARE,5050
36,37145,3,980080005,1,IMPULSE MERCHANDISE,611
38,44608,5,7874243167,1,GROCERY DRY GOODS,4408
38,153286,1,7874201019,1,HOUSEHOLD PAPER GOODS,6010
3,11541,6,60538896309,1,FINANCIAL SERVICES,276
38,67031,1,7639700228,1,GROCERY DRY GOODS,2995
37,55208,6,4036,1,PRODUCE,2500
37,181156,6,3338365322,1,PRODUCE,7601
3,134719,5,68113176761,1,FINANCIAL SERVICES,283
38,132889,5,7874206530,1,GROCERY DRY GOODS,2452
37,102930,7,4322252004,1,PRODUCE,4384
37,82539,4,7315015223,1,PRODUCE,7603
38,70622,2,4812125504,1,COMM BREAD,3719
36,153097,1,60308435064,1,PERSONAL CARE,9104
5,21329,1,7314914769,1,HOME MANAGEMENT,6645
36,96278,6,4145710909,1,PERSONAL CARE,5102
5,71562,2,3500055500,1,PERSONAL CARE,401
37,22121,1,4069,1,PRODUCE,8501
5,71614,2,31284354123,1,PHARMACY OTC,2021
38,129240,4,6439200005,13,OFFICE SUPPLIES,571
3,189563,7,68113163351,2,FINANCIAL SERVICES,275
36,62384,7,4900000977,1,DSD GROCERY,9211
37,67019,1,4011,1,PRODUCE,5501
37,135103,5,3338365020,1,PRODUCE,7501
